id,user,uid,version,changeset,timestamp
19413048,hofoen,52797,2,37603155,2016-03-04T08:23:54Z
19413050,DaveHansenTiger,7168,1,503285,2008-01-01T20:59:34Z
19413064,DaveHansenTiger,7168,1,503285,2008-01-01T20:59:38Z
19413070,AndrewSnow,371121,2,70533459,2019-05-23T00:02:58Z
19413073,DaveHansenTiger,7168,1,503285,2008-01-01T20:59:43Z
19413078,DaveHansenTiger,7168,1,503285,2008-01-01T20:59:46Z
19413137,DaveHansenTiger,7168,1,503285,2008-01-01T21:00:06Z
19413140,DaveHansenTiger,7168,1,503285,2008-01-01T21:00:06Z
19413156,DaveHansenTiger,7168,1,503285,2008-01-01T21:00:12Z
19413162,DaveHansenTiger,7168,1,503285,2008-01-01T21:00:14Z
19413254,DaveHansenTiger,7168,1,503285,2008-01-01T21:00:40Z
19413258,DaveHansenTiger,7168,1,503285,2008-01-01T21:00:41Z
19413329,AndrewSnow,371121,2,70533459,2019-05-23T00:02:58Z
19413333,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:03Z
19413356,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:10Z
19413363,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:11Z
19413391,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:18Z
19413392,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:19Z
19413411,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:23Z
19413420,AndrewSnow,371121,2,58079890,2018-04-14T01:31:52Z
19413437,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:30Z
19413441,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:31Z
19413451,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:33Z
19413457,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:35Z
19413459,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:36Z
19413462,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:36Z
19413463,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:37Z
19413465,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:37Z
19413466,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:38Z
19413470,DaveHansenTiger,7168,1,503285,2008-01-01T21:01:39Z
